"name","name-2","name-3","sale_price"
"Газовые плиты","Ferre","Газовая плита Femas 20 W",2172000
"Газовые плиты","Бирюса ","Газовая плита Бирюса U60GE57SS",2628000
"Газовые плиты","Shivaki","Газовая плита Shivaki 6401G Белая",2038000
"Блендеры","Philips","Блендер пароварка Philips SCF870 22",1027000
"Блендеры","Moulinex","Овощерезка Moulinex DJ 500510",281000
"Блендеры","NEOS","Блендер Neos JB450",342000
"Блендеры","NEOS","Блендер Neos HB550",241000
"Блендеры","Emerald","Блендер Emerald UJB-404",591000
"Кофемашины","Caffitaly","Кофемашина капсульная Caffitaly Bianca S22 Black/Red",4777000
"Кухонные весы","Kenwood","Весы кухонные Kenwood DS401",256000
"Кухонные весы","Philips","Весы кухонные Philips HR2393/01",200000
"Кухонные весы","Kenwood","Весы кухонные Kenwood DS400",279000
"Кухонные весы","Tefal","Весы кухонные Tefal BC5010V1",230000
"Кухонные весы","Gorenje","Весы кухонные Gorenje KT10HEAD W",359000
"Кухонные весы","Gorenje","Весы кухонные Gorenje KT10ORA B",331000
"Кухонные весы","Gorenje","Весы кухонные Gorenje KT10ORA W",331000
"Кухонные весы","Gorenje","Весы кухонные Gorenje KT10PR LED",245000
"Кухонные весы","Sencor","Весы кухонные Sencor SKS7000WH",156000
"Кухонные весы","Sencor","Весы кухонные Sencor SKS7001BK",156000
"Кухонные весы","Polaris","Весы кухонные Polaris PKS 0323",225000
"Кухонные весы","Gorenje","Весы кухонные Gorenje KT10 HEAD B",359000
"Микроволновые печи","AVA","Микроволновая печь AVA AVE20SM",770000
"Микроволновые печи","AVA","Микроволновая печь AVA AVM20XS",779000
"Микроволновые печи","Shivaki","Микроволновая печь Shivaki 20UX66",575000
"Микроволновые печи","Volmer","Микроволновая печь Volmer VM-2035BL",517000
"Микроволновые печи","Volmer","Микроволновая печь Volmer VM-2025WL",501000
"Микроволновые печи","Volmer","Микроволновая печь Volmer VM-2025MSL",532000
"Миксеры","Emerald","Миксер Ручной Emerald EM-242 NE",539000
"Электрические мясорубки","NEOS","Мясорубка Neos MG1500",600000
"Электрические мясорубки","Gorenje","Слайсер Gorenje R401W",645000
"Электрические мясорубки","Gorenje","Слайсер Gorenje R506E",1175000
"Пароварки","Philips","Пароварка Philips HD9140/00",1465000
"Пароварки","Moulinex","Рисоварка Moulinex MK111E00",429000
"Пароварки","Philips","Пароварка Philips HD9124/00",982000
"Пароварки","Sencor","Рисоварка Sencor SRM 1890SS",295000
"Пароварки","Sencor","Рисоварка Sencor SRM 2800SS",429000
"Пароварки","Braun","Пароварка Braun FS5100WH",1450000
"Пароварки","Tefal","Пароварка Tefal VC130130",540000
"Пароварки","Sencor","Яйцеварка Sencor SEG710BP",100000
"Пароварки","Sharp","Рисоварка SHARP KS-M18L-W-3",443000
"Пароварки","Moulinex","Рисоварка Moulinex MK156125",458000
"Соковыжималки","NEOS","Соковыжималка Neos J600",381000
"Соковыжималки","Mega","Соковыжималка Mega JMU-4101",631000
"Тостеры","Kenwood","Тостер Kenwood TTP220",513000
"Тостеры","Bosch","Тостер Bosch TAT6A114",715000
"Тостеры","Bosch","Тостер Bosch TAT8613",1269000
"Тостеры","Bosch","Тостер Bosch TAT8611",1269000
"Электрочайники","Moulinex","Электрочайник Moulinex BY540D10",269000
"Электрочайники","Moulinex","Электрочайник Moulinex BY 530530",344000
"Электрочайники","Moulinex","Электрочайник Moulinex BY282110",255000
"Электрочайники","NEOS","Электрочайник Neos K17S",179000
"Электрочайники","NEOS","Электрочайник Neos K17G",278000
"Электрочайники","NEOS","Электрочайник Neos K17W",214000
"Электрочайники","NEOS","Электрочайник Neos K17D",253000
"Электрочайники","Moulinex","Электрочайник Moulinex BY282127",377000
"Электрочайники","Kenwood","Электрочайник Kenwood SJM610",694000
"Электрочайники","Kenwood","Электрочайник Kenwood ZJG111CL",371000
"Электрочайники","Panasonic","Электрочайник Panasonic NCSK1BTQ",402000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30EAB0",253000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30MDBK0",182000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30MUM0",191000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30MUP0",288000
"Электрочайники","Shivaki","Электрочайник Shivaki SH KE 4401R",105000
"Электрочайники","Shivaki","Электрочайник Shivaki SH KE 3059B",145000
"Электрочайники","Shivaki","Электрочайник Shivaki 4401W",163000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30EUP0",357000
"Электрочайники","Gorenje","Электрочайник Gorenje K 17 WII",461000
"Электрочайники","Gorenje","Электрочайник Gorenje K 17 GWE",446000
"Электрочайники","Gorenje","Электрочайник Gorenje K 17 BK",386000
"Электрочайники","Shivaki","Электрочайник Shivaki SH KE 1301",195000
"Электрочайники","Moulinex","Электрочайник Moulinex BY550D10",289000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30EUM0",357000
"Электрочайники","Hotpoint","Электрочайник Hotpoint WK30EAC0",396000
"Электрочайники","Avalon","Электрочайник Avalon AVL KE 1703",325000
"Электрочайники","Artel","Термопот Artel ART TE 3 8D",640000
"Варочные панели","Konig","Варочная панель Konig KGH419GFP",2235000
"Варочные панели","Konig","Варочная панель Konig KGH402GFP",1930000
"Варочные панели","Konig","Варочная панель Konig KGH419SFP",959000
"Варочные панели","Konig","Варочная панель Konig KGH414SFP",0
"Варочные панели","Konig","Варочная панель Konig KGH925GFP",1619000
"Варочные панели","Konig","Варочная панель Konig KGH403SFP",1766000
"Варочные панели","Ferre","Варочная панель Ferre 640-C",952000
"Варочные панели","Ferre","Варочная панель Ferre В 631-B",1007000
"Варочные панели","Mavjud","Варочная панель Ferre 640-GL",1122000
"Варочные панели","Beko","Варочная панель Beko HILW64235S",2814000
"Варочные панели","Beko","Варочная панель Beko HIMW95225SXE",4168000
"Варочные панели","haier","Варочная панель Haier HCC406AGS-E",1696000
"Варочные панели","haier","Варочная панель Haier HCC406AGS-D",2463000
"Медиаплееры и тв приставки","iTV","Цифровой тюнер iTV IPTV TV Box R69",299000
"Медиаплееры и тв приставки","Mi","ТВ Приставка MI TV Box",899000
"Телекарты","UzDigital ","Телекарта UzDigital TeleCARD",420000
"Телекарты","UZDIGITAL TV","Телекарта UzDigital Irdeto CCA 1670",224000
"Радиотелефоны","Mavjud","Радиотелефон Panasonic KX-TG2511UAN",367000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG2511UAS",321000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG1711UAW",266000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG2511UAT",439000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KXTGA681RUB",224000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KXTG8551UAB",849000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KXTGH210RUB",789000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG1611UAR",352000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG1612UAH",448000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG1711UAB",395000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KXTGJ310OUCB",576000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG2511UAM",375000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGB210UAB",231000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG1611UAH",424000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG2512UAT",755000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG6811UAB",611000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGH210RUW",599000
"Радиотелефоны","Mavjud","Радиотелефон Panasonic KXTGH220RUW",641700
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGE110UCB",611000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGC310UC1",482000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Fax KX FT984UA",1050000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX PRL260RUB",1291000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX PRS110UAW",1271000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG2512UAM",775000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGJ310UCB",697000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Проводной KX-TS2350UAB",151000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Проводной KX TS2350UAW",157000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGC310UC2",354000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGF320UCM",1508000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-PRW110UAW",1444000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG6811UAM",585000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG6821UAB",770000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGC310UCC",343000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGC310UCR",319000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TGC310UCY",339000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX-TG1611UAW",352000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KXTS2388UAВ",430000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Проводной KX-TS2352UAJ",143000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Проводной KX-TS2352UAW",169000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Проводной KX-TS2356UAB",290000
"Радиотелефоны","Panasonic","Радиотелефон Panasonic Проводной KX-TS2356UAW",239000
"Радиотелефоны","Mavjud","Радиотелефон Panasonic Проводной KXTS2388UAW",445000
"Радиотелефоны","Бежевый","Радиотелефон Panasonic KX-TG2511CAS",0
"Радиотелефоны","Panasonic","Радиотелефон Panasonic KX TG2511CAM",0
